State,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
New Jersey,149000,148700,148400,148200,147900,147800,147700,147800,148000,148500,148900,149200,149500,149700,150000,150300,150600,150900,151200,151600,152000,152600,153000,153300,153600,153900,154100,154400,154700,155000,155500,156100,156900,157700,158600,159400,160400,161300,162200,163200,164100,165000,166000,167100,168400,169800,171200,172600,173900,175200,176500,177700,179000,180300,181600,183100,184700,186400,188100,189800,191600,193500,195400,197400,199500,201700,204000,206500,209200,211900,214500,217200,219900,222700,225600,228600,231800,235100,238400,241800,245100,248300,251400,254400,257400,260500,263700,266900,269900,272900,275800,278600,281300,284100,287100,290200,293500,297000,300800,304800,308900,312900,317000,320800,324700,328400,332000,335700,339700,343700,347600,351500,355300,359100,362800,366200,369500,372500,375100,377600,380200,382200,383700,384600,384900,384600,383900,382900,382000,381200,380200,379400,378700,377600,376100,374500,372700,371000,369300,367400,365600,363700,361400,359300,357100,354400,351100,347700,344200,341000,338000,335000,332300,329700,326800,323800,320900,317300,313700,311200,309500,308500,308000,307800,306900,306500,307500,306900,303900,302400,302400,301400,299500,297700,295700,293500,290900,288200,285700,284000,283100,281900,280600,279300,277700,275500,273600,271900,270500,269000,267400,266200,265800,265400,264600,263800,263600,263600,262900,262700,263000,263500,263600,263600,263700,264300,265200,266500,267800,269000,270300,271700,272800,273700,274600,275500,276200,276500,276700,277100,277600,278100,278400,278500,278700,279000,278900,278600,278400,278500,279100,279700,280000,280400,281000,281300,281600,282100,282300,282500,283300,284200,284900,285500,286100,286400,286600,287300,288500,289700,291000,293200,296400,299500,301800,303900,306200,308700,311000,313300,315200,317600,320100,322000,323500,324900,326100,327300,328600,330200,331800
Virginia,107900,108100,108300,108400,108600,108800,109100,109300,109700,110100,110500,110800,111000,111200,111400,111700,112000,112200,112600,113100,113700,114500,115300,116100,116800,117600,118400,119200,119800,120200,120600,120900,121300,121800,122200,122600,123100,123500,124000,124400,125000,125600,126300,127000,127900,128800,129700,130500,131300,132000,132600,133200,133800,134300,134900,135600,136400,137100,137900,138500,139200,140000,140800,141700,142600,143600,144700,145800,147000,148300,149600,150800,152000,153100,154100,155200,156300,157400,158600,159800,161000,162100,163300,164400,165800,167200,168700,170400,172300,174200,176100,178100,180200,182400,184800,187400,190400,193800,197400,201400,205500,209600,213700,217500,221400,225100,228700,232300,235800,239100,242100,244900,247300,249500,251400,253100,254600,255900,257000,258100,258900,259500,259900,260200,260400,260600,260800,261000,261400,261900,262200,262600,263000,262900,262400,261600,260700,259600,258400,257100,255600,253900,252000,250100,248100,245900,243500,241400,239500,237800,236100,234500,233100,231700,230200,228700,227100,225200,223200,221900,220900,220100,219600,219300,219000,218900,219400,219000,217700,217300,217600,217200,216200,215200,214200,213200,211900,210300,208900,208100,207600,207100,206500,205900,205600,205300,204900,204600,204500,204500,204400,204500,204800,205500,206300,206900,207200,207700,208400,209000,209500,210100,210700,211400,212200,213000,213800,214500,215100,215400,215700,216200,216700,217200,217600,218100,218700,219200,219500,219900,220500,221200,221600,221800,222100,222500,222800,223300,223700,224000,224500,225100,225600,225800,226300,227000,227800,228300,228700,229400,230500,231400,232100,233000,233900,234600,235300,236200,237200,238100,239300,240600,241700,242400,242900,243300,244200,245300,246100,246600,247100,248000,249300,250100,250600,251300,251900,252300,253000,254200,255300
Washington,139100,139100,139200,139400,139700,140100,140600,141100,141600,142200,142700,143100,143500,143900,144400,144900,145500,146200,146900,147800,148800,149800,150600,151400,152100,152900,153800,154800,155700,156600,157500,158300,158900,159400,159700,160000,160400,160900,161400,162000,162600,163200,164000,164700,165700,166700,167800,168800,169600,170300,170900,171400,171700,172100,172500,173100,173700,174500,175300,176000,176700,177200,177700,178200,178700,179300,180100,181000,181900,182800,183700,184400,184800,185100,185400,185600,185900,186300,186700,187300,187900,188400,189100,190100,191200,192600,194000,195600,197200,198900,200600,202300,204000,205900,207700,209600,211700,213900,216400,219000,221700,224500,227300,230200,233100,235900,238800,241900,245500,249400,253600,258100,262400,266500,270400,274000,277500,280800,283900,287100,290500,293600,296600,299300,301800,304100,306000,307500,309100,310700,311900,313100,314300,314900,315200,315100,314500,313600,312300,310600,309000,307500,305600,303800,302200,300300,297800,295100,292000,289100,286400,283800,281700,279700,277200,274300,271400,268100,264900,262500,260700,259400,258400,257800,256900,256700,257700,256900,254200,252500,251100,248900,247200,245500,243800,242400,240600,238000,235300,233300,231500,229700,228000,226700,225400,224100,223100,222300,221600,221000,220600,220600,220900,221400,222400,223600,224500,225400,226400,227400,228500,229500,230800,233100,235900,238300,240300,242100,243800,245400,246500,247700,248500,249400,250400,251500,252400,253500,254900,256300,257900,259600,261300,262900,264500,266000,267400,269200,271700,274200,276500,278800,281400,283700,285800,287900,290200,292600,294900,297800,301100,303700,306500,309900,313200,316200,319400,322400,325500,328800,332300,335600,338800,342000,344800,347200,349500,351600,353500,355800,358900,362900,366700,369200,371000,373700,376100,377300,377800,379300,381400
Massachusetts,143200,143500,143900,144200,144600,145000,145500,146000,146600,147200,147800,148400,148900,149500,150200,150900,151600,152400,153200,154200,155400,156900,158400,159600,160800,161900,163000,164000,165000,165900,166900,168000,169300,170900,172600,174200,175900,177700,179600,181500,183500,185500,187600,189700,192100,194700,197300,199800,202400,205100,207900,210900,214000,217100,220200,223200,226200,229100,231800,234400,237100,239900,242800,245900,249000,252000,255000,257900,260800,263500,266200,268800,271500,274200,277100,280100,283200,286500,289800,293200,296600,299800,302800,305900,308900,311600,314200,316600,318900,321000,323200,325400,327600,330000,332400,334900,337600,340300,343100,346100,348900,351700,354600,357300,360000,362600,365200,367600,369700,371300,372500,373200,373500,373500,373400,373000,372200,371200,370200,369000,367700,366200,364500,362500,360400,358300,356300,354300,352700,351500,350600,349700,348900,347900,346500,344900,343200,341400,339400,337200,334900,332600,330200,327500,324900,322400,320000,317800,315900,314400,313100,312000,311100,310400,309600,308300,306500,304400,302400,301400,301400,301800,302300,302800,303300,304100,305100,305400,305000,305100,305300,304900,304100,303200,302100,300800,299600,297700,295200,293800,293100,292300,291400,290800,290100,289200,288200,287200,286500,285700,285300,285800,286500,287300,288300,289400,289900,289900,290600,292100,293200,293800,295100,297000,299400,302000,304500,306700,308700,310700,312800,314200,315000,316300,317600,318600,319600,321000,322300,323600,324500,325200,325800,326900,328500,329900,331000,331800,332600,333300,334100,335100,336600,338100,339500,340900,342300,343500,344900,346400,348200,349800,351600,353700,356000,358700,361200,363600,366600,370100,373400,375900,378100,380200,381400,382100,383900,386500,388600,390300,392000,394600,397800,399900,401400,403400,405300,406900,408400,409800,411000
Indiana,93300,91800,90300,89000,88000,87300,87000,87000,87200,87500,87900,88200,88300,88300,88300,88200,88100,87900,87600,87200,86600,85900,85600,85600,86000,86600,87100,87500,87800,88100,88200,88200,87900,87500,87000,86600,86400,86500,87000,87800,88900,90000,90900,91600,92100,92400,92500,92600,92600,92600,92600,92800,93100,93600,94200,95000,96000,96900,97800,98700,99400,100100,100800,101400,101900,102300,102700,102900,103100,103200,103200,103200,103100,103100,103000,103000,102900,103000,103100,103200,103300,103500,103800,104200,104700,105000,105100,104900,104600,104200,103900,103700,103600,103700,103900,104100,104500,104900,105200,105500,105800,106100,106400,106800,107400,108200,109100,109900,110700,111400,112100,112800,113400,114000,114400,114700,115000,115100,115000,115000,115100,115300,115600,115900,116400,116800,117200,117500,117700,117900,117900,118000,118000,117900,117800,117700,117700,117600,117600,117700,117900,118000,118000,117900,117800,117600,117200,116800,116200,115600,115000,114400,113800,113300,112700,112200,111700,111100,110300,109700,109300,108900,108500,108300,107900,107700,107800,107700,107400,107500,107900,108000,107900,108000,108200,108200,107900,107600,107400,107100,106700,106100,105600,105200,105000,104800,104600,104400,104200,104100,104000,104200,104200,104300,104500,104800,105000,105200,105200,105200,105400,105400,105100,104800,104700,104700,104500,104300,104300,104200,104100,104200,104400,104600,104600,104800,105300,105700,106000,106400,106600,106800,107000,107700,108300,108600,108800,109200,109400,109700,110000,110300,110700,111000,111200,111500,112000,112600,113300,113800,114400,115200,116000,116800,117700,118500,119000,119600,120200,120700,121400,122300,123100,123600,124100,124700,125200,125600,126300,127100,127800,128900,130100,131100,132000,133300,134400,135400,136500,138200,139500
Arizona,103600,104100,104500,105000,105600,106000,106600,107100,107700,108300,108900,109400,109900,110300,110700,111200,111700,112200,112900,113600,114300,115100,115800,116400,117000,117400,117900,118500,119000,119400,119900,120400,121000,121500,122000,122500,123000,123500,124100,124700,125200,125800,126400,126900,127500,128000,128500,128800,129100,129400,129800,130100,130500,131000,131600,132200,133000,133900,134800,135600,136400,137100,137700,138300,138700,139300,139800,140400,141000,141800,142600,143300,143900,144500,144900,145400,146000,146800,147600,148600,149700,150500,151300,152100,152800,153400,154100,154800,155500,156300,157200,158000,159000,160000,161200,162600,164200,166200,168500,171200,174300,177800,181700,185900,190600,195500,200800,206600,213300,220700,228800,237100,245100,252300,258600,263700,267800,271100,273800,276000,277800,278800,278900,278100,276600,274700,272700,270600,268900,267400,265900,264400,263000,261300,259100,256600,253800,250600,247100,243400,239600,235600,231200,226800,222700,218900,215200,211700,208300,204800,201300,197800,194400,191100,187500,183700,180000,176400,173000,170300,168400,166600,165200,164200,163400,163000,163000,162500,161100,159500,158200,156200,153900,152200,151100,149200,147500,146300,145600,144800,143600,141800,140200,139000,138100,137600,137800,138600,139500,140300,141300,142900,145300,147800,150100,152400,154700,156600,158200,160000,161900,163500,164900,166900,169100,171500,173800,176000,178100,180100,181400,182700,184000,185000,185500,185900,186200,186900,187800,188600,189300,189900,190600,191600,192400,193100,193800,194400,195300,197100,198900,200600,202300,203800,205100,206300,207600,209000,210300,211500,213000,214500,215900,217400,219100,220700,222000,223700,225100,225900,226900,228600,230300,231600,232800,234000,235200,236600,238000,239000,240100,242100,244500,246200,247400,248500,250000,251500,253000,254700,256400
Tennessee,68400,68800,69300,69800,70300,70800,71300,71600,72000,72400,72700,73000,73400,73700,74000,74300,74600,74900,75300,75600,75900,76300,76600,76800,77100,77500,77800,78200,78700,79200,79600,80000,80300,80600,80900,81200,81500,81800,82200,82500,82800,83100,83400,83700,84000,84300,84600,84900,85200,85400,85600,85600,85700,85800,85900,86100,86400,86800,87200,87600,88000,88300,88500,88700,88900,89100,89300,89500,89700,89900,90000,90200,90300,90400,90500,90700,90900,91200,91500,91800,92100,92400,92700,93000,93200,93500,93800,94100,94400,94800,95200,95600,96000,96500,96800,97200,97600,98100,98700,99500,100200,100900,101600,102300,103000,103700,104500,105300,106100,107000,107900,108800,109800,110700,111700,112600,113500,114300,115000,115800,116500,117200,117900,118500,119200,119800,120400,120900,121400,121800,122100,122500,122900,123200,123400,123600,123700,123600,123500,123300,123200,123200,123100,123000,123000,122800,122400,122000,121400,120900,120400,120000,119600,119400,119100,118800,118400,117900,117400,117000,116700,116500,116400,116400,116300,116300,116600,116500,116100,116000,116000,115800,115600,115100,114600,114200,113800,113400,113000,112600,112300,111900,111600,111200,111000,110700,110600,110500,110300,110000,109800,109800,109900,110000,110100,110100,110000,110200,110600,110800,110900,111100,111200,111300,111700,112000,112400,113000,113500,114000,114300,114700,115100,115500,116000,116400,116800,117300,117900,118500,119000,119300,119500,120000,120700,121200,121700,122300,122700,123300,123800,124400,125000,125700,126400,127200,127900,128700,129300,129900,130800,131700,132500,133300,134200,135300,136400,137500,138700,140000,141100,142100,143200,144300,145200,145900,146700,147300,148100,148900,149700,151000,152800,154500,155700,156500,156900,157800,159100,160600,161700
Missouri,82300,82400,82400,82400,82500,82700,83000,83500,84300,85200,86100,86900,87700,88300,88800,89200,89400,89700,89900,90100,90500,90900,91300,91800,92200,92600,93000,93400,93800,94100,94400,94700,95000,95300,95700,96000,96400,96900,97300,97800,98300,98800,99200,99600,100000,100500,100900,101400,101800,102300,102800,103200,103700,104200,104700,105300,105800,106400,106900,107600,108200,108900,109500,110100,110600,111000,111500,112000,112500,113000,113600,114100,114700,115200,115800,116400,117000,117700,118300,118800,119300,119800,120200,120700,121300,121800,122400,122900,123300,123800,124200,124700,125000,125200,125400,125500,125600,125800,126100,126300,126600,127000,127400,127800,128300,128900,129500,130000,130600,131100,131700,132300,133000,133700,134300,134800,135300,135800,136200,136600,136900,137200,137500,137800,138000,138400,138700,139100,139400,139700,139900,140000,140100,140100,140100,139900,139800,139500,139300,139000,138800,138500,138300,138200,138000,137700,137300,136800,136300,135900,135500,135100,134800,134500,134200,133900,133500,133000,132500,131900,131400,131000,130600,130300,130100,130100,130200,129900,129400,129000,129000,128800,128600,128300,128100,127800,127400,126700,125700,124800,124300,124100,123900,123800,123500,123300,123100,122700,121900,121300,121200,121500,121500,121400,121200,121400,121500,121600,121600,121800,121900,122300,122700,123000,123300,123500,123500,123700,124000,124000,124200,124600,125000,125200,125300,125500,125800,126100,126300,126300,126400,126500,126600,126700,127100,127500,127600,127900,128400,129100,129800,130300,130900,131500,132100,132600,133100,133700,134300,134700,135200,135600,136000,136600,137000,137400,138000,138700,139500,140200,140900,141600,142400,143000,143400,143700,144500,145300,146000,146600,147600,148800,149900,150700,151500,152600,153800,154800,155800,157100,158100
Maryland,132900,132900,132900,132900,132900,132800,132800,132800,132900,133100,133300,133400,133400,133500,133500,133500,133500,133500,133600,133700,134000,134500,134800,135100,135300,135500,135500,135600,135700,135700,135900,136000,136500,137000,137600,138000,138400,138900,139300,139800,140200,140600,141100,141700,142500,143200,143900,144600,145200,145700,146300,146800,147400,148100,148900,149700,150700,151700,152600,153600,154500,155500,156400,157400,158400,159500,160800,162100,163500,165000,166500,168000,169600,171300,173000,174800,176700,178600,180700,182900,185200,187400,189600,191900,194300,196700,199100,201800,204500,207400,210400,213600,216700,219900,223300,226700,230400,234400,238800,243600,248600,253700,258800,263800,268900,273700,278400,283300,288500,293800,299100,304300,309200,313500,317400,320900,324000,326800,329400,332000,334700,337100,339000,340600,341700,342400,342800,342900,342800,342800,342500,342400,342300,341700,340400,338800,336700,334400,331700,328700,325600,322600,319600,317100,314500,311300,307300,303000,299000,295400,291900,288700,285600,282500,279400,276400,273300,269700,266000,263000,261000,259700,258700,258000,257700,257800,258400,256600,252800,250600,250500,249400,247900,246400,245300,243900,242200,240600,239000,238000,237200,236000,234600,233600,232300,231100,229800,228500,227700,227600,227300,227300,228200,229200,230000,230900,232200,233200,233900,234600,235400,235800,236100,236700,238200,240000,241500,243000,244400,245600,246700,248000,249000,249600,249700,250200,250600,250800,251300,252400,253100,253600,254300,254800,255000,255400,256000,256500,257000,257700,258400,259100,259500,259600,259800,260400,260800,261100,261400,262500,264000,265500,266600,267600,268500,269200,270000,271400,272900,274100,275100,276400,277500,278300,279100,279700,280500,281800,283100,284300,285500,287100,289300,291300,292900,294200,294900,295200,295600,296600,297500
Wisconsin,109600,109500,109100,108400,107600,106600,105900,105200,104900,104900,104800,104800,104900,105000,105100,105200,105300,105300,105400,105500,105700,106100,106400,106700,107000,107300,107700,108100,108600,109200,109900,110600,111400,112300,113000,113600,114100,114600,115200,115800,116400,116800,117300,117900,118600,119500,120300,121000,121600,122200,122700,123300,123800,124400,124900,125400,126000,126700,127400,128100,128700,129400,130100,130700,131300,131900,132500,133200,134000,134900,135800,136600,137400,138100,138700,139300,139800,140300,140900,141600,142400,143300,144200,145000,145800,146500,147100,147800,148400,149100,149800,150500,151300,152200,153300,154600,155900,157200,158400,159700,160800,161700,162300,162400,161600,160200,158300,156500,155100,154400,154300,154700,155300,156000,156600,157200,157800,158400,159000,159500,159900,160100,160200,160200,160200,160200,160300,160500,160800,161200,161500,161900,162100,162100,162000,161800,161600,161500,161400,161300,161300,161200,161000,160700,160200,159600,158800,158100,157400,156800,156200,155600,155200,154800,154500,154400,154100,153600,152900,152300,151600,151100,150700,150400,150200,150200,150500,150500,150000,149600,149500,149100,148500,147700,146700,145800,144800,144000,143200,142500,142000,141700,141200,140700,140600,140700,140600,140300,140100,140100,140000,139600,139500,139700,140000,140400,140400,140300,140500,140800,140900,140900,141100,141400,141900,142300,142500,142900,143200,143400,143900,145300,146800,147400,147400,147800,148400,148600,148900,149300,149800,150000,149700,149000,148600,148800,149300,149800,150300,150900,151600,152200,152600,153000,153500,154200,154800,155300,156100,157000,157900,158600,159200,159900,160700,161700,162700,163600,164300,165100,166100,167000,167800,168700,169500,170300,171200,172100,172900,173700,174700,175600,176300,176600,177100,178000,178900,180100,181400,183000,184400
Minnesota,87700,88100,88500,89000,89400,89900,90200,90500,90700,91000,91200,91300,91300,91500,91700,92000,92400,92900,93500,94000,94600,95300,95800,96300,96800,97500,98200,99100,100200,101500,102700,104000,105300,106600,107900,109100,110400,111800,113300,114800,116200,117500,118800,120200,121600,123000,124400,125600,126800,127900,129200,130500,132000,133500,135100,136600,138100,139400,140700,142000,143500,145100,147000,148900,150700,152500,154000,155500,156900,158300,159800,161300,162700,164000,165200,166200,167300,168300,169400,170600,171900,173300,174600,176000,177300,178500,179600,180700,181700,182700,183700,184800,185900,187200,188600,190100,191700,193100,194400,195600,196600,197500,198400,199300,200200,201200,202100,203100,204300,205400,206400,207400,208300,209200,210200,211100,212100,212800,213100,213100,212800,212200,211500,210900,210300,209800,209400,209100,208900,208800,208600,208600,208500,208100,207300,206400,205400,204400,203300,202000,200500,198800,196900,195300,193800,192300,190500,188600,186800,185000,183400,181900,180600,179500,178300,177200,176000,174400,172500,171200,170400,169800,169500,169400,169000,168900,169600,169300,167500,166800,167500,167500,166900,165700,164000,162200,160700,159200,157500,155900,154900,153900,152600,151700,151100,150800,150600,150400,150100,149800,149600,149800,150200,151000,151900,153000,154100,155200,156300,157400,158500,159500,160400,161300,162400,163600,164800,166200,167500,168700,169900,171200,172100,173000,173700,174600,175800,176800,177600,178200,178700,178900,179100,179300,179700,180300,181200,182400,183800,185100,186200,186900,187600,188200,189000,190000,191100,192100,193300,194900,196200,197300,198400,199500,200500,201800,203300,204900,206400,207900,209400,211200,213200,214800,216000,217100,218200,219300,220400,221600,222700,224200,226100,227500,228800,229600,230000,230600,231700,233100,234300
Colorado,130200,130200,130300,130400,130700,131000,131400,131700,132000,132200,132300,132400,132600,133200,134000,135000,136000,137000,137900,138700,139300,139900,140200,140500,141100,141800,142900,144200,145500,146900,148200,149500,150700,152100,153300,154500,155800,157200,158700,160300,161900,163500,165100,166800,168700,170600,172400,174200,176100,178000,179800,181600,183500,185300,187100,188900,190800,192700,194600,196300,197800,199200,200400,201500,202500,203400,204400,205200,206100,206900,207800,208700,209400,210000,210600,211000,211500,211900,212300,212800,213200,213700,214200,214700,215300,215700,216000,216300,216500,216900,217500,218200,218800,219400,220000,220500,220900,221400,221800,222400,222900,223500,224100,224800,225600,226300,227100,227800,228500,229300,230000,230800,231500,232300,233100,233700,234400,235100,235800,236400,237000,237500,237900,238100,238300,238400,238300,238300,238400,238500,238700,239000,239200,239400,239400,239300,239000,238600,237900,236900,235800,234700,233500,232500,231500,230800,230100,229400,228700,228100,227700,227300,227100,227100,226900,226500,225800,224700,223700,223100,222900,223000,223100,223100,223200,223400,223900,223700,222700,222100,221900,221300,220200,219200,218300,217500,216500,215400,214200,213600,213300,212800,212100,211700,211400,211300,211400,211900,212600,213200,213700,214500,215800,217400,218800,219900,221200,222500,223700,224900,226000,226800,228000,229600,231400,233000,234700,236900,239100,240700,242000,243500,244700,245800,246800,248100,249700,251600,253600,255700,257700,259900,262100,264400,267000,269700,272400,275100,278300,281800,285300,288600,291800,295000,297900,300500,303300,305900,308800,311900,314800,317300,320000,322800,325400,327800,330200,332800,335400,338100,341400,344800,347500,349300,351000,352300,353600,355200,357000,359000,361400,364800,368800,371900,373700,375100,376100,376700,377500,379100,381000
Alabama,75600,76200,76900,77500,78100,78600,78900,79100,79100,79100,79000,79000,79000,79100,79100,79300,79400,79500,79600,79700,79700,79800,79800,79700,79600,79500,79500,79600,79800,80100,80500,81000,81500,82200,82800,83400,83900,84300,84600,84800,84900,85000,85100,85200,85300,85400,85600,85700,85900,86000,86200,86300,86500,86700,87000,87300,87700,88200,88600,89100,89500,89800,90200,90400,90700,91000,91200,91500,91700,91900,92100,92300,92600,92800,93000,93300,93500,93800,94100,94400,94700,95000,95200,95500,95900,96300,96600,97000,97300,97600,97900,98300,98500,98800,99200,99500,99700,100000,100400,100800,101400,102000,102600,103100,103400,103300,102700,101700,100500,99400,98600,97900,97500,97100,97000,97100,97600,98400,99700,101400,103500,105400,107100,108500,109600,110300,110900,111200,111300,111300,111400,111500,111700,111800,111800,111700,111600,111500,111300,111200,111100,111100,111000,110900,110900,110700,110400,110000,109500,108900,108500,108100,107700,107200,106700,106300,105900,105400,104700,104100,103600,103200,102900,102700,102500,102300,102500,102200,101400,100900,100900,100700,100400,100100,99800,99100,98500,97900,97100,96500,96200,96000,96000,96200,96100,95500,94900,94800,95000,95000,95200,95200,95200,95200,95100,95300,96400,98000,99300,100100,100700,101400,102400,103600,104700,105500,106300,106800,106900,107100,107800,108400,108800,109400,109600,109500,109300,109400,109700,110000,110300,110600,111000,111500,112000,112100,111900,111900,112000,112200,112300,112500,112700,113100,113300,113500,113900,114400,114700,115200,115800,116400,116800,117200,117400,117300,117300,117600,117900,118000,118200,118600,119200,119700,119700,119600,119800,120100,120200,120600,121100,121900,123000,124200,125100,125700,126100,126900,127600,128100,128500
South Carolina,75600,75500,75500,75700,76000,76500,77100,77700,78500,79300,80200,81000,81700,82200,82900,83600,84600,85700,86900,87900,88600,89000,89200,89300,89500,89700,89900,90100,90200,90200,90300,90400,90500,90800,91300,91800,92200,92600,92900,93100,93400,93600,93900,94500,95200,96100,97200,98500,99600,100500,101200,101700,102000,102200,102300,102400,102600,102800,103000,103300,103500,103800,104100,104500,104900,105200,105400,105500,105500,105400,105200,105200,105200,105400,105800,106300,106800,107400,107900,108500,109000,109300,109600,109900,110200,110600,111100,111600,112100,112700,113300,113900,114500,115200,115900,116600,117300,117900,118400,119000,119600,120300,121000,121700,122400,123100,123900,124600,125400,126200,127000,127800,128600,129300,129900,130600,131300,132100,132900,133800,134700,135600,136400,137300,138000,138800,139400,140000,140400,140700,140900,141100,141200,141200,141300,141300,141100,141000,140900,140800,140700,140600,140500,140300,140100,139800,139400,138900,138200,137500,136900,136300,135800,135300,134900,134500,134000,133300,132700,132300,132100,131900,131800,131700,131600,131700,131800,131600,131100,130800,130700,130200,129700,129200,128500,127700,126900,126200,125400,124500,124000,123700,123200,122600,122400,122100,121900,121800,121600,121500,121500,121500,121500,121600,121700,121900,122000,122100,122300,122400,122500,122500,122500,122700,122900,123100,123500,123900,124300,124600,124900,125100,125300,125600,125900,126200,126500,126700,126800,126900,126900,126900,127000,127400,127600,127900,128300,128700,129000,129400,129800,130300,130600,130900,131300,132000,132800,133500,134300,135300,136300,137300,138400,139500,140700,141800,142700,143700,144900,145900,146700,147400,148100,148600,149200,149900,150600,151500,152300,153200,154000,155100,156500,157600,158500,159300,160000,160700,161500,162600,163600
Louisiana,67000,67200,67300,67500,67800,68000,68300,68600,68800,69200,69400,69700,69900,70100,70400,70800,71100,71500,72000,72500,73100,74000,74900,75800,76800,77800,78800,79700,80600,81300,82000,82700,83300,84000,84500,85100,85600,86100,86700,87300,88000,88700,89400,89900,90400,90900,91400,91700,92000,92100,92300,92400,92600,92800,93100,93400,93800,94200,94500,94800,94900,94700,94000,93100,91900,90700,89800,89200,88900,89000,89100,89300,89600,90000,90300,90600,90800,91100,91300,91500,91600,91800,91900,92100,92400,92800,93500,94300,95200,96100,97000,97800,98600,99200,99800,100200,100600,101100,101600,102200,102900,103400,103800,104000,103800,103600,103300,103300,103600,104000,104700,105600,106700,107900,109000,110200,111400,112600,113700,114600,115300,115900,116300,116600,116900,117200,117600,118000,118600,119300,119900,120600,121200,121800,122400,122800,123100,123200,123300,123400,123500,123700,123800,124000,124000,124000,123900,123900,124000,124000,124100,124200,124400,124600,124900,125100,125300,125500,125600,125600,125700,125700,125600,125500,125400,125400,125400,125400,125200,125100,125000,124800,124500,124300,124300,124300,123900,123500,122900,122200,121600,121100,120600,120300,120000,119700,119300,118900,118800,118400,118100,118100,118100,118200,118400,118400,118500,118700,118800,118800,119000,119300,119700,120000,120300,120400,120600,120800,120900,120900,121100,121500,121800,122000,122100,122200,122600,122900,123000,123300,123900,124300,124600,124900,125300,125700,126000,126200,126200,126500,127000,127300,127500,127700,128200,128700,129000,129500,130200,131200,132000,132700,133400,134300,135000,135700,136200,136800,137400,138000,138700,139200,139700,140100,140300,140500,140800,141300,141600,141700,142000,142400,142800,143300,144200,145000,145500,145700,145900,146500,147300
